description,category
saman kharida cleared today today,shopping
end of month cleanup expenses this month cleared today,misc
brought food for the whole floor cleared,food
shopping ki cleared this month cleared this month,shopping
MakeMyTrip package today today today today cleared,travel
saman kharida done this month today cleared,shopping
Dropbox business cleared,subscriptions
ola cleared this month this month cleared cleared today,transport
security system monthly charge cleared,utilities
food done,food
Microsoft 365 this month done this month,subscriptions
monthly salary credited to account today today,salary
rent paymnt,rent
Library subscription today today this month,education
office mein sabke liye order kiya this month done cleared this month this month,food
ordered food for working late cleared this month done today,food
maitenance today done,misc
Content creation fee,marketing
trade fair attendance today this month today done done today,travel
uber today today,transport
cloud storage renewal this month,subscriptions
paid for digital marketing done done cleared,marketing
SEO work for website done,marketing
dinner this month done,food
DMart monthly grocery today cleared,food
yaar ke saath bahar khaya this month cleared done cleared,food
Medicine purchase today this month today,healthcare
monthly SaaS charges cleared today this month,subscriptions
Content creation fee today,marketing
office mein sabke liye order kiya today done,food
gym fees for the month this month,healthcare
Practo consultation cleared today cleared done this month,healthcare
BSNL landline done this month this month this month,utilities
Rapido bike ride today,transport
Office rent March cleared done,rent
Blinkit instant order cleared today,food
groccery shopping today today done,food
random charges this week today done done,misc
Mobile accessories done done this month today this month,shopping
bhojan ke liye paisa done done,food
annual ad budget utilized done done this month,marketing
monthly medicines from pharmacy done done done done,healthcare
gym fees for the month cleared done done today done,healthcare
pharmcy this month,healthcare
Parking fee this month done this month today cleared,transport
petrol bharwaya this month today,transport
Hotel booking Mumbai done,travel
doctor this month today done,healthcare
amazon done this month this month today done,shopping
utilties payment this month,utilities
office mein sabke liye order kiya cleared today,food
team lunch after meeting,food
Visa fee cleared today done cleared,travel
Zepto veggies cleared done,food
saman kharida done today,shopping
software plan this month,subscriptions
salary diya staff ko today today,salary
water bill done cleared this month today,utilities
inventory topped up before festival today today,raw_material
trade fair attendance today this month today done done done done today,travel
Freelance project completed today today,salary
security system monthly charge cleared done cleared,utilities
food,food
fun evening after a long sprint today this month,entertainment
office rent done,rent
Co-working space fee done,rent
Apollo pharmacy today today this month done,healthcare
Office chair Amazon cleared cleared done,shopping
inventory,raw_material
annual maintenance of AC today cleared done cleared done,utilities
Flipkart laptop bag this month today cleared,shopping
grocrey from dmart today,food
yaar ke saath bahar khaya this month cleared cleared today,food
Bowling alley cleared done this month cleared today done,entertainment
stock this month,raw_material
dukaan ka kiraya this month,rent
BSES electricity bill done this month,utilities
Google Ads campaign done today,marketing
trade fair attendance today this month today today this month,travel
light bill diya today,utilities
Piped gas bill MGNGL done this month cleared today done,utilities
ghar ke liye rashan liya cleared this month,food
Payment from ABC Corp cleared today,salary
Staples stationery today cleared today,shopping
Nykaa products this month today done done today cleared,shopping
Coursera subscription today this month today today done,education
interstate business visit today today,travel
team dinner and bowling after sprint done cleared,entertainment
sourced from new vendor this time cleared,raw_material
shopping ki cleared this month cleared,shopping
material this month done cleared cleared,raw_material
khana order kiya today this month,food
upskilling budget used this month,education
employee medical allowance cleared,healthcare
flight today,travel
grocrey from dmart today today cleared cleared,food
Medicine purchase cleared done today,healthcare
Professional tax done cleared done cleared done,misc
gas bill done,utilities
salary diya staff ko cleared done,salary
breakfast cleared done done this month,food
miscelanious done done,misc
weekend trip with family today,entertainment
marketing,marketing
Zepto veggies done done,food
Google Workspace this month today,subscriptions
Influencer collaboration this month this month cleared today,marketing
petty cash for small purchases,misc
Weekend outing cleared,entertainment
bought books for office library this month cleared this month,education
bought milk and bread from nearby store cleared today today,food
spotify done today,entertainment
office mein sabke liye order kiya this month done cleared this month cleared today,food
Project milestone payment today this month this month,salary
bought reference books for project done today done,education
bonus credited this month done cleared today today,salary
gas connection recharge done,utilities
lunch this month done,food
Udemy course purchase today cleared,education
tax this month this month this month,misc
Client project payment received this month,salary
khana order kiya today this month this month,food
gym fees for the month this month this month done cleared,healthcare
supplier ko diya today,raw_material
Medicine purchase today,healthcare
office water purifier AMC done today,utilities
Educational software done today today today done,education
medicne purchase today today,healthcare
Zoho CRM subscription today cleared,subscriptions
kaam ka paisa mila cleared this month,salary
brought food for the whole floor done cleared cleared cleared,food
movie done,entertainment
bought reference books for project this month today today cleared,education
paani ka bill today done,utilities
Jio prepaid 299,utilities
Meesho order cleared,shopping
flight today done done,travel
Parking fee this month this month cleared,transport
Inventory restock this month this month done this month cleared,raw_material
rented a car for the week done done today done this month,transport
Train ticket Mumbai this month cleared cleared done,transport
Studio rent payment cleared cleared,rent
Petrol refill at HP,transport
return flight booked today today cleared,transport
health today,healthcare
training today this month today this month cleared,education
repiar cost done today,misc
Consulting fee received cleared this month,salary
shared auto with a colleague today cleared,transport
Educational software done today today,education
pharmcy done today,healthcare
Swiggy dinner order today cleared this month,food
team dinner and bowling after sprint today done today,entertainment
marketing today done,marketing
MakeMyTrip package today today today today today,travel
Coursera subscription this month this month this month today done cleared today,education
ordered for the night shift this month today this month cleared,food
ordered for the night shift this month this month this month done,food
annual health checkup done,healthcare
lead generation campaign this month this month,marketing
lead generation campaign done cleared today done,marketing
metro card bharwaya this month,transport
sabzi mandi se kharide today done cleared cleared done done,food
annual maintenance of AC today done today,utilities
lead generation campaign done cleared cleared today,marketing
movie outing approved by manager,entertainment
Coursera subscription this month this month this month cleared today,education
brought food for the whole floor done today,food
pantry supplies cleared,food
evening snacks for the office today this month,food
Project milestone payment cleared cleared,salary
maintanence charge this month,utilities
Swiggy dinner order today today done cleared,food
annual ad budget utilized done,marketing
material this month today done,raw_material
went out with client for dinner today cleared,food
Library subscription today cleared,education
nashte mein poha banana ke liye ingredients today this month cleared,food
MakeMyTrip package today today today done today,travel
flipkart cleared today,shopping
pharmcy today today done,healthcare
Studio rent payment cleared this month today,rent
production input materials this month,raw_material
ola cleared this month done,transport
Advance tax done done cleared today,misc
shoping this month today this month this month,shopping
pantry supplies done cleared,food
rapido,transport
office ka khana done done this month cleared,food
Freelance project completed,salary
Dominos pizza this month done today,food
prime,entertainment
Microsoft 365 done done,subscriptions
rented a car for the week cleared today,transport
levelling up the team skills,education
material,raw_material
weekend trip with family cleared today done,entertainment
trade fair attendance today this month today done done cleared,travel
Ola ride to client this month done,transport
security system monthly charge cleared done today cleared,utilities
Wholesale goods bought,raw_material
replacement parts for equipment,shopping
metro card bharwaya this month this month,transport
ola cleared this month done this month today,transport
materials for the big project today,raw_material
Gaming recharge BGMI cleared today this month today,entertainment
Practo consultation cleared this month cleared done,healthcare
Starbucks coffee cleared,food
payment received this month this month this month,salary
Mobile accessories done done this month today this month done,shopping
miscelanious done this month done,misc
ofice supplies,shopping
petrol bharwaya this month today today,transport
Petty cash withdrawal done this month this month done,misc
PVR movie tickets this month done cleared today today this month,entertainment
Train ticket Mumbai this month this month today done,transport
Medicine purchase today cleared,healthcare
Inventory restock this month this month this month,raw_material
return flight booked today today today,transport
hotel for conference stay cleared done,travel
Inventory restock done today,raw_material
bus,transport
Trello Gold done done,subscriptions
Toll plaza charge done today,transport
interstate business visit this month this month,travel
paid for the warehouse space this month cleared this month cleared,rent
Hotstar annual cleared,entertainment
cleared rent dues,rent
Parking fee this month done,transport
maintanence charge this month this month,utilities
nashte mein poha banana ke liye ingredients today this month,food
Amazon office supplies done,shopping
rented a car for the week done this month this month today this month,transport
Office maintenance cleared this month this month today,misc
Courier charges done this month,misc
monthly medicines from pharmacy done cleared this month,healthcare
payroll cleared cleared,salary
petrol refill at petorl pump cleared this month today this month,transport
Toll plaza charge done today cleared,transport
auto done,transport
Coursera subscription today today done this month,education
office mein sabke liye order kiya today,food
bike petrol topped up,transport
pharmcy this month this month,healthcare
ordered food for working late cleared done today this month,food
shopping ki cleared this month cleared this month today done,shopping
chai cleared cleared today this month,food
Big Basket groceries today cleared done,food
incentive payment processed,salary
vendor today cleared cleared cleared,raw_material
restraunt dinner,food
rented a car for the week done done today done cleared,transport
Airbnb stay Pune this month today done,travel
Nykaa products this month this month done this month,shopping
bike petrol topped up done cleared,transport
Email marketing tool done cleared cleared today,marketing
Medicine purchase done cleared,healthcare
Instagram promotion this month,marketing
paid for skill upgrade training this month done,education
gym fees for the month this month this month this month cleared,healthcare
Online certification today,education
rent done today,rent
ordered food for working late cleared this month cleared today today done today,food
Packaging material done,raw_material
Society maintenance cleared,utilities
entertanment cleared today today done,entertainment
brought food for the whole floor done cleared this month,food
hospital today done cleared,healthcare
bought reference books for project this month today today done,education
Educational software done cleared done,education
paid for skill upgrade training done today,education
sabzi mandi se kharide today this month cleared cleared done,food
electricty bill,utilities
security system monthly charge cleared done today,utilities
security system monthly charge this month today,utilities
kaam ka paisa mila,salary
shoping cleared cleared cleared,shopping
Parking fee this month done this month today,transport
Library subscription today cleared cleared,education
subscribed to binge something new done cleared,entertainment
Content creation fee this month today cleared this month,marketing
spotify done today cleared,entertainment
Business trip Chennai,travel
BSES electricity bill,utilities
recharge metro for the week today done,transport
Packaging material cleared today done done,raw_material
workshop today done done,education
Books from Amazon done this month,education
Flipkart laptop bag this month today cleared today,shopping
Amazon office supplies cleared today,shopping
kaam ka paisa mila cleared today this month,salary
Google Ads campaign done cleared,marketing
annual maintenance of AC today cleared done cleared done today,utilities
ola cleared,transport
kiraya done,rent
cheezein kharidi this month cleared,shopping
received outstanding from old project cleared this month,salary
maitenance cleared today,misc
monthly salary credited to account this month done today,salary
maintanence charge cleared done,utilities
client entertainment travel done cleared this month,travel
trade fair attendance today this month cleared done done this month this month done,travel
Tata Power monthly bill today this month done this month done,utilities
Google Ads campaign done this month today today,marketing
Amazon office supplies cleared today done today,shopping
flipkart this month,shopping
amazon this month,shopping
Friday movie night today,entertainment
gas connection recharge done done cleared cleared,utilities
petrol refill at petorl pump done done,transport
Design project paid cleared done today,salary
team attended a webinar today cleared,education
cab kiya office ke liye done,transport
maitenance,misc
vision correction glasses cleared this month this month cleared this month,healthcare
first aid kit restocked cleared done,healthcare
basement storage monthly fee cleared done,rent
petrol bharwaya done today this month done,transport
materials for the big project this month cleared cleared today done,raw_material
Udemy course purchase today cleared done today,education
Society maintenance,utilities
Airtel postpaid cleared,utilities
ofice rent,rent
Payment from ABC Corp today,salary
weekend trip with family,entertainment
employee medical allowance this month done cleared,healthcare
annual maintenance of AC today cleared,utilities
lunch cleared cleared this month done,food
inventory this month,raw_material
team got their dues today cleared,salary
makaan malik ko diya done,rent
brought food for the whole floor,food
saas subscription cleared done,subscriptions
repair done today today,misc
Amazon Prime renewal today done this month cleared done,entertainment
Gaming recharge BGMI cleared cleared cleared cleared,entertainment
Gym membership,healthcare
vendor today cleared this month cleared,raw_material
security system monthly charge cleared this month,utilities
Payment from ABC Corp,salary
Flipkart laptop bag this month this month,shopping
Zomato lunch delivery done done,food
evening snacks for the office cleared,food
wifi router plan renewed cleared this month cleared,utilities
Udemy course purchase today this month this month,education
paid for skill upgrade training today this month done this month,education
ofice supplies done,shopping
cleared 2 months pending bill done,utilities
hospital gaye,healthcare
Udemy course purchase today,education
Monthly retainer received cleared done cleared,salary
supplies,shopping
paid for the storage locker done,rent
bought supplies for the office cleared done today,shopping
Flight ticket Bangalore today today cleared today today cleared,travel
bought raw materials from vendor cleared cleared,raw_material
Part time worker salary cleared,salary
Payment from ABC Corp done,salary
team attended a webinar today this month today,education
Blinkit instant order,food
Warehouse rent this month done cleared,rent
office mein sabke liye order kiya this month done today,food
cheezein kharidi this month today today this month cleared,shopping
Keyboard mouse set this month done,shopping
Raw material purchase done done,raw_material
petrol done,transport
ghar ka bill cleared,utilities
Visa fee,travel
rapido this month done this month this month,transport
replacement parts for equipment done done done,shopping
Keyboard mouse set done,shopping
PS5 game purchase today cleared,entertainment
Udemy course purchase done cleared,education
sabzi mandi se kharide today this month cleared cleared done cleared,food
Monthly office space today,rent
PS5 game purchase today,entertainment
Team outing Goa today cleared,entertainment
payroll cleared cleared this month,salary
petrol refill at petorl pump this month done cleared,transport
Laptop stand today,shopping
resturant lunch today this month,food
Canva Pro this month this month cleared,subscriptions
sourced from new vendor this time today this month cleared,raw_material
BEST bus pass cleared,transport
GitHub Pro this month cleared done,subscriptions
annual renewal cleared,subscriptions
Society maintenance cleared cleared today today,utilities
ordered food for working late cleared done,food
Coursera subscription this month this month this month today done cleared,education
Eye checkup cleared done,healthcare
random charges this week today done cleared today,misc
bought reference books for project this month today today done done,education
gym fees for the month cleared today today,healthcare
flight today done today done,travel
Dropbox business done today done today,subscriptions
Figma team plan this month cleared,subscriptions
paid for skill upgrade training cleared this month done,education
monthly medicines from pharmacy done today,healthcare
Big Basket groceries today cleared,food
new sim card for office staff cleared cleared done done,utilities
GitHub Pro today cleared,subscriptions
Petty cash withdrawal done this month,misc
fuel for delivery van today this month this month cleared,transport
rented a car for the week done done today,transport
incentive payment processed cleared today,salary
upskilling budget used this month this month today,education
Flight ticket Bangalore cleared done this month cleared,travel
cleared utility dues today,utilities
Airtel postpaid,utilities
office ka khana done today done this month,food
office ka khana done done,food
Dominos pizza this month done today done,food
Project milestone payment cleared cleared cleared today cleared,salary
weekly vegetable haul done done today done this month,food
resturant lunch today,food
drove to the client site today today cleared this month cleared,transport
tech accessories restocked cleared today,shopping
yaar ke saath bahar khaya this month cleared cleared this month cleared today today,food
team lunch after meeting done done,food
incentive payment processed cleared this month cleared,salary
social campaign this quarter cleared this month today,marketing
train to the city center done,transport
Starbucks coffee done,food
ordered new chairs for team done today today cleared this month,shopping
internet today cleared,utilities
Team outing Goa today done,entertainment
Influencer collaboration this month this month,marketing
Amazon office supplies cleared today done today today,shopping
AWS monthly bill this month cleared today,subscriptions
Hospital bill this month,healthcare
lunch this month this month done cleared,food
Travel insurance this month this month,travel
supplier ko diya this month,raw_material
Piped gas bill MGNGL done this month cleared cleared,utilities
payment received this month,salary
Dominos pizza this month done today done this month this month,food
Train ticket Mumbai this month cleared,transport
monthly medicines from pharmacy done today done,healthcare
Monthly retainer received done cleared cleared done,salary
khana order kiya today this month done today,food
Trello Gold done,subscriptions
Travel insurance done,travel
lunch cleared cleared done today done done,food
miscelanious this month cleared today,misc
bought raw materials from vendor,raw_material
ordered food for working late cleared done today this month today,food
grocrey from dmart today this month today today cleared,food
karaoke night with team,entertainment
annual maintenance of AC this month done today,utilities
maal kharida done cleared cleared,raw_material
ordered food for working late cleared this month cleared today,food
grocrey from dmart today today,food
Fiverr earnings,salary
annual maintenance of AC this month done,utilities
saman kharida done done cleared,shopping
random charges this week today cleared,misc
Office chair Amazon cleared this month,shopping
Health insurance premium cleared today,healthcare
paid for digital marketing cleared this month done,marketing
Zepto veggies today cleared this month,food
small stuff that adds up cleared,misc
rent done done done,rent
Uber cab to airport this month cleared cleared,transport
ordered for the night shift,food
halwai se mithai li diwali ke liye done,food
repiar cost cleared,misc
Petty cash withdrawal,misc
Team outing Goa today today,entertainment
groccery shopping today this month done cleared,food
ordered food for working late cleared this month,food
Jio prepaid 299 cleared done,utilities
paid for skill upgrade training cleared done this month done this month,education
saman kharida done today cleared,shopping
evening snacks for the office done,food
stationary purchase this month,shopping
monthly pantry restock cleared today,food
Miscellaneous expense today cleared,misc
basement storage monthly fee this month this month cleared,rent
interstate business visit cleared today this month this month,travel
entertanment cleared today cleared cleared,entertainment
khana this month today,food
paid the team for this month done cleared cleared,salary
Office maintenance cleared,misc
Blood test this month cleared today done cleared done,healthcare
Flight ticket Bangalore today today cleared today today today done,travel
fuel for delivery van today today,transport
Rapido bike ride cleared,transport
Instagram promotion this month done,marketing
Restaurant dinner today,food
Payment from ABC Corp today this month done,salary
repair cleared done today,misc
Hospital bill done,healthcare
cleared 2 months pending bill this month cleared,utilities
Content creation fee this month today,marketing
pantry supplies done,food
groceries,food
Studio rent payment cleared this month done,rent
movie this month done,entertainment
Vi mobile bill done this month cleared,utilities
Bowling alley cleared today cleared,entertainment
Zepto veggies done,food
online shopping for the office cleared cleared today this month,shopping
Piped gas bill MGNGL done this month cleared today done today this month,utilities
ad hoc repairs and fixes,misc
drove to the client site today done,transport
Vi mobile bill,utilities
Practo consultation cleared this month,healthcare
saman kharida done this month today,shopping
team dinner and bowling after sprint done done this month,entertainment
office parking space rent today cleared this month,rent
brought food for the whole floor done cleared done today,food
interstate business visit this month,travel
Coursera subscription today today done this month cleared,education
Gaming recharge BGMI cleared this month today,entertainment
went out with client for dinner cleared today this month,food
Coursera subscription today,education
rentt payment this month,rent
Escape room cleared this month today,entertainment
annual renewal this month,subscriptions
Blood test this month cleared today done this month today this month today,healthcare
App project payment,salary
Big Basket groceries today today,food
team dinner and bowling after sprint done done this month cleared today done,entertainment
Inventory restock done done cleared cleared,raw_material
Inventory restock this month this month done this month this month cleared this month,raw_material
Apollo pharmacy today today this month done cleared done today,healthcare
bijli ka bill,utilities
Inventory restock done done this month done,raw_material
maitenance today cleared,misc
training cleared cleared done,education
Contract staff wages,salary
Visa fee cleared today,travel
repair cleared today done,misc
Vi mobile bill cleared,utilities
cab for the late evening today today,transport
Uber cab to airport done done this month this month,transport
Hotstar annual done cleared today,entertainment
movie outing approved by manager this month today today today,entertainment
production input materials cleared done this month done,raw_material
groccery shopping this month,food
uber today,transport
cab kiya office ke liye,transport
production input materials done,raw_material
kaam ka paisa mila cleared this month today this month this month today,salary
tech accessories restocked cleared today cleared this month this month,shopping
Apollo pharmacy today today this month this month,healthcare
flight,travel
Printer cartridge cleared done done cleared,shopping
bonus credited this month done cleared this month,salary
Amazon Prime renewal done,entertainment
IKEA office furniture today this month,shopping
movie this month,entertainment
Flight ticket Bangalore cleared cleared,travel
SEO work for website done today this month,marketing
annual maintenance of AC today cleared done done,utilities
PVR movie tickets this month cleared this month,entertainment
groccery shopping today this month done,food
breakfast this month done,food
bought milk and bread from nearby store cleared today today today this month,food
annual maintenance of AC done done done,utilities
paani ka bill cleared,utilities
wifi router plan renewed cleared,utilities
cleared 2 months pending bill this month cleared today,utilities
bought milk and bread from nearby store this month today this month cleared,food
sourced from new vendor this time done this month today,raw_material
ola auto booked early morning done,transport
Bulk order material this month cleared this month,raw_material
annual maintenance of AC this month today done this month today,utilities
workshop today cleared cleared today,education
subscribed to streaming service this month today cleared this month this month today cleared cleared today,entertainment
resturant lunch,food
rapido today,transport
Gaming recharge BGMI cleared cleared cleared,entertainment
Uber cab to airport,transport
Gaming recharge BGMI cleared today this month,entertainment
office ka khana done,food
dawa kharidi this month this month cleared done,healthcare
inventory this month today,raw_material
Weekend outing cleared done cleared this month,entertainment
gym fees for the month cleared done done cleared cleared,healthcare
Project milestone payment cleared today,salary
Flight ticket Bangalore cleared done today,travel
Courier charges done,misc
evening snacks for the office today this month today cleared this month,food
lunch cleared done,food
brand visibility spend this month today this month,marketing
annual maintenance of AC today done cleared today,utilities
bought milk and bread from nearby store this month today this month done today done,food
wifi router plan renewed cleared this month cleared cleared cleared,utilities
PVR movie tickets,entertainment
khana order kiya today this month cleared,food
auto se gaya this month,transport
Monthly office space done done done,rent
SEO work for website done today cleared,marketing
Jio prepaid 299 cleared cleared this month cleared,utilities
bought reference books for project this month this month,education
ordered for the night shift this month today done,food
App project payment this month today done cleared,salary
chai cleared cleared this month this month cleared done,food
bought books for office library done this month,education
AWS monthly bill this month today,subscriptions
Notion team done today today this month,subscriptions
Staples stationery done today,shopping
shoping this month done,shopping
ordered new chairs for team done today,shopping
rent done this month,rent
Bowling alley cleared cleared,entertainment
cold coffee for two,food
ordered food for working late done,food
Zepto veggies done done cleared done,food
evening snacks for the office today,food
drove to the client site today,transport
marketing done,marketing
petrol refill at petorl pump cleared this month today today,transport
restocked inventory for next month today this month done today,raw_material
PVR movie tickets this month done cleared today today,entertainment
team attended a webinar today today cleared cleared done,education
Project milestone payment this month today,salary
Nykaa products this month today done done today,shopping
end of month cleanup expenses this month cleared cleared,misc
Train ticket Mumbai today done,transport
Nykaa products cleared,shopping
evening snacks for the office cleared done today,food
gym fees for the month cleared done,healthcare
paani ka bill today done this month,utilities
Influencer collaboration cleared cleared,marketing
vision correction glasses done today this month,healthcare
amazon,shopping
Office chair Amazon cleared this month this month done,shopping
weekly vegetable haul done today this month,food
courier for sending documents,misc
gym fees for the month done,healthcare
Society maintenance cleared this month done,utilities
Spotify premium this month,entertainment
halwai se mithai li diwali ke liye this month done done this month this month,food
Training workshop fee done today today,education
Notion team done done,subscriptions
Bowling alley today this month,entertainment
Tata Power monthly bill done,utilities
Toll plaza charge done cleared this month done,transport
breakfast at the station done cleared today cleared,food
kaam ka paisa mila cleared this month today today,salary
Parking fee,transport
office ka khana done today done today cleared,food
lunch cleared cleared,food
dawa kharidi this month,healthcare
end of month cleanup expenses this month cleared,misc
interstate business visit cleared today,travel
lunch cleared cleared done today done,food
Metro card recharge today this month today,transport
yaar ke saath bahar khaya cleared done cleared,food
payroll this month today done,salary
cheezein kharidi cleared today cleared,shopping
payroll done this month,salary
Project milestone payment cleared today cleared this month cleared,salary
petrol refill at petorl pump cleared today cleared,transport
yaar ke saath bahar khaya this month cleared cleared this month cleared today,food
bought milk and bread from nearby store done,food
chai cleared cleared this month,food
tax this month cleared this month,misc
Medicine purchase today done,healthcare
workshop done this month cleared cleared,education
Zomato lunch delivery done done this month done,food
ola cleared this month this month cleared this month,transport
repair done today done,misc
Design project paid cleared done,salary
Hotstar annual,entertainment
ordered food for working late cleared this month cleared today today this month done,food
AWS monthly bill this month today cleared,subscriptions
employee medical allowance this month done done today,healthcare
paid for the warehouse space this month done done,rent
annual maintenance of AC today done,utilities
dawa kharidi cleared cleared,healthcare
Training workshop fee done cleared,education
annual ad budget utilized done done done done this month,marketing
Weekend outing,entertainment
annual ad budget utilized done done done done,marketing
Business trip Chennai done,travel
khane pe kharcha,food
Medicine purchase done this month,healthcare
annual renewal done this month,subscriptions
shopping ki cleared this month this month done,shopping
workshop today done cleared,education
office rent this month done,rent
random charges this week today this month today this month this month,misc
salary diya staff ko,salary
Payment from ABC Corp today this month,salary
co-working subscription cleared this month cleared,rent
evening mein chai pi office mein today,food
Bank charges,misc
bhojan ke liye paisa today done,food
annual plan cheaper than monthly,subscriptions
Team outing Goa today cleared today,entertainment
flight today done,travel
chai cleared cleared this month this month,food
netflix done done,entertainment
generator fuel for power cut cleared cleared this month cleared,utilities
team dinner and bowling after sprint done this month cleared cleared,entertainment
annual maintenance of AC this month today done cleared this month done,utilities
movie today done,entertainment
Nykaa products this month today,shopping
MakeMyTrip package today today today this month,travel
movie outing approved by manager this month done done,entertainment
workshop today this month today done,education
ola auto booked early morning done this month this month this month cleared,transport
Medicine purchase cleared,healthcare
Hotel booking Mumbai,travel
paid the team for this month today this month cleared done,salary
flipkart cleared done cleared,shopping
quick meal before the meeting today,food
doctor this month today today cleared,healthcare
Practo consultation cleared,healthcare
movie outing approved by manager this month done,entertainment
grocrey from dmart today this month today,food
Client visit Hyderabad done cleared done,travel
lunch this month this month,food
Bowling alley cleared done this month,entertainment
