transaction_id,business_id,date,description,amount,category,type,z_score,is_anomaly
TXN00856,BIZ_002,2025-09-15,courier for sending documents,50,misc,expense,0.825,0
TXN04420,BIZ_006,2025-09-15,workshop,955,education,expense,0.449,0
TXN02883,BIZ_004,2025-09-15,Mobile accessories,475,shopping,expense,0.554,0
TXN07595,BIZ_009,2025-09-15,kaam ka paisa mila,77900,salary,income,2.183,0
TXN07594,BIZ_009,2025-09-15,Monthly office space,4820,rent,expense,1.717,0
TXN07593,BIZ_009,2025-09-15,petrol bharwaya,2160,transport,expense,6.987,1
TXN08836,BIZ_010,2025-09-15,Google Workspace,1980,subscriptions,expense,0.261,0
TXN04418,BIZ_006,2025-09-15,Client project payment received,75300,salary,income,2.046,0
TXN09564,BIZ_011,2025-09-16,petrol refill at petorl pump,92,transport,expense,0.856,0
TXN04422,BIZ_006,2025-09-16,monthly rent for the shop,17400,rent,expense,0.091,0
TXN04421,BIZ_006,2025-09-16,Facebook Ads payment,2140,marketing,expense,0.161,0
TXN04423,BIZ_006,2025-09-17,Library subscription,1320,education,expense,0.052,0
TXN03708,BIZ_005,2025-09-17,material,52200,raw_material,expense,1.858,0
TXN06808,BIZ_008,2025-09-17,Monthly payroll,25300,salary,income,0.594,0
TXN07596,BIZ_009,2025-09-17,vendor,49200,raw_material,expense,1.645,0
TXN07597,BIZ_009,2025-09-17,BSES electricity bill,1360,utilities,expense,0.532,0
TXN07598,BIZ_009,2025-09-17,Consultant fee paid,37800,salary,income,0.066,0
TXN07599,BIZ_009,2025-09-18,supplies,765,shopping,expense,0.421,0
TXN07600,BIZ_009,2025-09-18,InDrive cab,110,transport,expense,0.784,0
TXN09565,BIZ_011,2025-09-18,vendor,59200,raw_material,expense,2.353,0
TXN00010,BIZ_001,2025-09-18,payroll,28600,salary,income,0.42,0
TXN01807,BIZ_003,2025-09-18,office rent,12400,rent,expense,0.737,0
TXN02884,BIZ_004,2025-09-19,birthday cake from bakery,160,food,expense,0.933,0
TXN08838,BIZ_010,2025-09-19,annual renewal,1390,subscriptions,expense,0.253,0
TXN06809,BIZ_008,2025-09-19,McDonalds breakfast,420,food,expense,0.375,0
TXN10727,BIZ_012,2025-09-19,payroll,38000,salary,income,0.077,0
TXN10728,BIZ_012,2025-09-19,Content creation fee,3130,marketing,expense,0.279,0
TXN05535,BIZ_007,2025-09-20,repiar cost,1350,misc,expense,1.588,0
TXN04424,BIZ_006,2025-09-20,Society maintenance,3380,utilities,expense,1.748,0
TXN00857,BIZ_002,2025-09-20,Freelancer payment,38500,salary,income,0.103,0
TXN01808,BIZ_003,2025-09-20,cheezein kharidi,1260,shopping,expense,0.194,0
TXN08839,BIZ_010,2025-09-20,Banner printing,960,marketing,expense,0.685,0
TXN07601,BIZ_009,2025-09-20,SEO service payment,4530,marketing,expense,0.901,0
TXN07602,BIZ_009,2025-09-20,paani ka bill,1520,utilities,expense,0.351,0
TXN08840,BIZ_010,2025-09-21,GST payment,385,misc,expense,0.203,0
TXN05537,BIZ_007,2025-09-21,Nykaa products,260,shopping,expense,0.652,0
TXN05536,BIZ_007,2025-09-21,Swiggy dinner order,300,food,expense,0.633,0
TXN09566,BIZ_011,2025-09-21,bank fees for the month,185,misc,expense,0.574,0
TXN00858,BIZ_002,2025-09-22,salary,107200,salary,income,3.73,1
TXN09567,BIZ_011,2025-09-22,Employee wages,32100,salary,income,0.235,0
TXN02885,BIZ_004,2025-09-23,paid the team for this month,31500,salary,income,0.266,0
TXN07603,BIZ_009,2025-09-23,wages,36900,salary,income,0.019,0
TXN06810,BIZ_008,2025-09-23,restraunt dinner,305,food,expense,0.622,0
TXN06811,BIZ_008,2025-09-23,office ka kiraya,23600,rent,expense,0.711,0
TXN09568,BIZ_011,2025-09-23,metro card bharwaya,185,transport,expense,0.483,0
TXN10730,BIZ_012,2025-09-24,monthly SaaS charges,99,subscriptions,expense,1.376,0
TXN00011,BIZ_001,2025-09-24,payment aayi client se,33500,salary,income,0.161,0
TXN09569,BIZ_011,2025-09-24,metro card bharwaya,120,transport,expense,0.744,0
TXN10729,BIZ_012,2025-09-24,Pamphlet distribution,3500,marketing,expense,0.444,0
TXN03709,BIZ_005,2025-09-24,stock,54300,raw_material,expense,2.006,0
TXN04425,BIZ_006,2025-09-25,Skill development course,760,education,expense,0.661,0
TXN09570,BIZ_011,2025-09-25,paid supplier for bulk order,40500,raw_material,expense,1.03,0
TXN09571,BIZ_011,2025-09-25,restocked inventory for next month,23500,raw_material,expense,0.173,0
TXN01809,BIZ_003,2025-09-25,internet,1790,utilities,expense,0.046,0
TXN00012,BIZ_001,2025-09-26,kiraya,13100,rent,expense,0.647,0
TXN06812,BIZ_008,2025-09-26,Piped gas bill MGNGL,1600,utilities,expense,0.261,0
TXN06813,BIZ_008,2025-09-26,App project payment,34300,salary,income,0.119,0
TXN07604,BIZ_009,2025-09-26,shoping,385,shopping,expense,0.595,0
TXN07605,BIZ_009,2025-09-26,Society maintenance,2670,utilities,expense,0.947,0
TXN10731,BIZ_012,2025-09-26,flight,2790,travel,expense,0.401,0
TXN02887,BIZ_004,2025-09-26,monthly salary credited to account,45200,salary,income,0.457,0
TXN02886,BIZ_004,2025-09-26,Upwork withdrawal,11200,salary,income,1.338,0
TXN05538,BIZ_007,2025-09-27,miscelanious,71,misc,expense,0.786,0
TXN08841,BIZ_010,2025-09-27,kiraya diya,17900,rent,expense,0.026,0
TXN06814,BIZ_008,2025-09-27,lunch bahar kiya,490,food,expense,0.224,0
TXN06815,BIZ_008,2025-09-28,internet ka bill,1850,utilities,expense,0.021,0
TXN00013,BIZ_001,2025-09-28,kiraya,4000,rent,expense,1.823,0
TXN07606,BIZ_009,2025-09-28,Facebook Ads payment,2980,marketing,expense,0.212,0
TXN02888,BIZ_004,2025-09-29,courier for sending documents,415,misc,expense,0.147,0
TXN08842,BIZ_010,2025-09-29,booked flights for client meeting,3380,travel,expense,0.28,0
TXN00859,BIZ_002,2025-09-29,electricity,1800,utilities,expense,0.035,0
TXN00860,BIZ_002,2025-09-29,miscelanious,355,misc,expense,0.259,0
TXN00861,BIZ_002,2025-09-29,payroll,39600,salary,income,0.161,0
TXN00862,BIZ_002,2025-09-29,Toll plaza charge,510,transport,expense,0.823,0
TXN00863,BIZ_002,2025-09-29,Part time worker salary,68300,salary,income,1.676,0
TXN03710,BIZ_005,2025-09-29,Physiotherapy,370,healthcare,expense,0.588,0
TXN03711,BIZ_005,2025-09-29,Freelancer payment,27300,salary,income,0.488,0
TXN03712,BIZ_005,2025-09-29,Jio prepaid 299,1210,utilities,expense,0.701,0
TXN09572,BIZ_011,2025-09-29,Bulk order material,27900,raw_material,expense,0.139,0
TXN05539,BIZ_007,2025-09-29,bijli ka bill,695,utilities,expense,1.282,0
TXN09573,BIZ_011,2025-09-29,Gym membership,420,healthcare,expense,0.531,0
TXN09574,BIZ_011,2025-09-29,restocked inventory for next month,50900,raw_material,expense,1.766,0
TXN03715,BIZ_005,2025-09-30,Supplier payment,23920,raw_material,expense,2.632,1
TXN03713,BIZ_005,2025-09-30,utilties payment,200,utilities,expense,1.841,0
TXN04426,BIZ_006,2025-09-30,khana order kiya,615,food,expense,0.044,0
TXN04427,BIZ_006,2025-09-30,Books from Amazon,1960,education,expense,0.645,0
TXN06816,BIZ_008,2025-09-30,broadband,1480,utilities,expense,0.396,0
TXN00014,BIZ_001,2025-09-30,Google Workspace,2590,subscriptions,expense,0.792,0
TXN03714,BIZ_005,2025-09-30,hospital,490,healthcare,expense,0.451,0
TXN07607,BIZ_009,2025-09-30,Content creation fee,805,marketing,expense,0.754,0
TXN01810,BIZ_003,2025-09-30,team collaboration tool subscription,3050,subscriptions,expense,1.192,0
TXN08845,BIZ_010,2025-10-01,amazone order,870,shopping,expense,0.373,0
TXN08843,BIZ_010,2025-10-01,Client visit Hyderabad,1380,travel,expense,0.692,0
TXN10732,BIZ_012,2025-10-01,team outing cab booking,580,transport,expense,1.104,0
TXN08848,BIZ_010,2025-10-01,AWS monthly bill,1520,subscriptions,expense,0.139,0
TXN08847,BIZ_010,2025-10-01,SEO service payment,2650,marketing,expense,0.066,0
TXN08846,BIZ_010,2025-10-01,App project payment,8000,salary,income,1.507,0
TXN01811,BIZ_003,2025-10-01,Airbnb stay Pune,1130,travel,expense,0.744,0
TXN09575,BIZ_011,2025-10-01,ran ads campaign this month,1670,marketing,expense,0.37,0
TXN08844,BIZ_010,2025-10-01,monthly SaaS charges,1970,subscriptions,expense,0.252,0
TXN03716,BIZ_005,2025-10-02,Client project payment received,58800,salary,income,1.175,0
TXN05540,BIZ_007,2025-10-02,cleared rent dues,16400,rent,expense,0.22,0
TXN04428,BIZ_006,2025-10-02,Training workshop fee,1630,education,expense,0.286,0
TXN09576,BIZ_011,2025-10-02,transpotation cost,915,transport,expense,2.45,0
TXN04429,BIZ_006,2025-10-02,marketing,680,marketing,expense,0.809,0
TXN00015,BIZ_001,2025-10-02,rentt payment,22700,rent,expense,0.594,0
TXN02889,BIZ_004,2025-10-02,Restaurant dinner,1140,food,expense,1.171,0
TXN09578,BIZ_011,2025-10-03,internet ka bill,2170,utilities,expense,0.383,0
TXN03718,BIZ_005,2025-10-03,Practo consultation,700,healthcare,expense,0.211,0
TXN03719,BIZ_005,2025-10-03,Jio prepaid 299,275,utilities,expense,1.756,0
TXN04430,BIZ_006,2025-10-03,Udemy course purchase,1330,education,expense,0.041,0
TXN02890,BIZ_004,2025-10-03,Commercial space rent,10300,rent,expense,1.009,0
TXN08849,BIZ_010,2025-10-03,marketing,1590,marketing,expense,0.405,0
TXN01812,BIZ_003,2025-10-03,Google Workspace,99,subscriptions,expense,1.376,0
TXN01813,BIZ_003,2025-10-03,payroll,25800,salary,income,0.567,0
TXN08850,BIZ_010,2025-10-03,wages,47000,salary,income,0.552,0
TXN03717,BIZ_005,2025-10-03,Professional tax,715,misc,expense,0.409,0
TXN09577,BIZ_011,2025-10-03,office ka khana,410,food,expense,0.396,0
TXN07608,BIZ_009,2025-10-03,Metro card recharge,410,transport,expense,0.421,0
TXN08851,BIZ_010,2025-10-04,Travel insurance,3960,travel,expense,0.16,0
TXN04434,BIZ_006,2025-10-04,course,740,education,expense,0.683,0
TXN00864,BIZ_002,2025-10-04,InDrive cab,235,transport,expense,0.282,0
TXN04433,BIZ_006,2025-10-04,Shop rental payment,18000,rent,expense,0.013,0
TXN04431,BIZ_006,2025-10-04,dinner,225,food,expense,0.794,0
TXN04432,BIZ_006,2025-10-04,padhai ke liye kharcha,1030,education,expense,0.367,0
TXN00865,BIZ_002,2025-10-05,GST payment,870,misc,expense,0.697,0
TXN00866,BIZ_002,2025-10-05,SEO work for website,1570,marketing,expense,0.414,0
TXN03720,BIZ_005,2025-10-05,Doctor visit fee,570,healthcare,expense,0.359,0
TXN02891,BIZ_004,2025-10-05,IKEA office furniture,2400,shopping,expense,0.329,0
TXN05541,BIZ_007,2025-10-05,Inventory restock,34800,raw_material,expense,0.627,0
TXN06817,BIZ_008,2025-10-05,stock bharwaya,10700,raw_material,expense,1.078,0
TXN04435,BIZ_006,2025-10-05,Payment from ABC Corp,18800,salary,income,0.937,0
TXN00867,BIZ_002,2025-10-06,auto,145,transport,expense,0.643,0
TXN00016,BIZ_001,2025-10-06,Cafe Coffee Day,460,food,expense,0.289,0
TXN03721,BIZ_005,2025-10-07,Flight ticket Delhi,585,transport,expense,1.124,0
TXN06818,BIZ_008,2025-10-07,swiggy ordr,175,food,expense,0.901,0
TXN00869,BIZ_002,2025-10-07,wifi router plan renewed,1840,utilities,expense,0.01,0
TXN00868,BIZ_002,2025-10-07,petrol,520,transport,expense,0.863,0
TXN10733,BIZ_012,2025-10-08,bought milk and bread from nearby store,920,food,expense,0.699,0
TXN05542,BIZ_007,2025-10-08,repiar cost,210,misc,expense,0.528,0
TXN01814,BIZ_003,2025-10-08,paid the team for this month,24000,salary,income,0.662,0
TXN04436,BIZ_006,2025-10-09,Canva Pro,3770,subscriptions,expense,1.819,0
TXN07609,BIZ_009,2025-10-09,Instagram promotion,1120,marketing,expense,0.614,0
TXN01815,BIZ_003,2025-10-09,petty cash for small purchases,355,misc,expense,0.259,0
TXN07610,BIZ_009,2025-10-10,co-working subscription,21600,rent,expense,0.452,0
TXN09579,BIZ_011,2025-10-10,gas connection recharge,2470,utilities,expense,0.721,0
TXN00017,BIZ_001,2025-10-10,material,35000,raw_material,expense,0.641,0
TXN08852,BIZ_010,2025-10-10,flight,2470,travel,expense,0.467,0
TXN01816,BIZ_003,2025-10-11,bought books for office library,1040,education,expense,0.357,0
TXN05543,BIZ_007,2025-10-11,anay kharcha,85,misc,expense,0.76,0
TXN08853,BIZ_010,2025-10-11,amazon,2200,shopping,expense,0.237,0
TXN03722,BIZ_005,2025-10-12,Hospital bill,315,healthcare,expense,0.651,0
TXN00870,BIZ_002,2025-10-12,GST payment,465,misc,expense,0.055,0
TXN06819,BIZ_008,2025-10-12,cheezein kharidi,3920,shopping,expense,1.026,0
TXN02893,BIZ_004,2025-10-12,restocked inventory for next month,15800,raw_material,expense,0.717,0
TXN04437,BIZ_006,2025-10-12,electricty bill,1620,utilities,expense,0.238,0
TXN10734,BIZ_012,2025-10-12,business trip reimbursement,2730,travel,expense,0.414,0
TXN02892,BIZ_004,2025-10-12,monthly salary credited to account,25300,salary,income,0.594,0
TXN02894,BIZ_004,2025-10-13,rentt payment,26400,rent,expense,1.073,0
TXN05545,BIZ_007,2025-10-13,printing karwaya,83,misc,expense,0.764,0
TXN01817,BIZ_003,2025-10-13,zomatto food,315,food,expense,0.6,0
TXN05544,BIZ_007,2025-10-13,advance rent to landlord,21600,rent,expense,0.452,0
TXN00018,BIZ_001,2025-10-13,kiraya,8030,rent,expense,1.302,0
TXN07611,BIZ_009,2025-10-13,cleared utility dues,2280,utilities,expense,0.507,0
TXN06820,BIZ_008,2025-10-13,Jio prepaid 299,1250,utilities,expense,0.656,0
TXN08854,BIZ_010,2025-10-13,Trello Gold,1530,subscriptions,expense,0.131,0
TXN09582,BIZ_011,2025-10-14,Professional tax,330,misc,expense,0.305,0
TXN09583,BIZ_011,2025-10-14,bijli wale ko diya,2180,utilities,expense,0.394,0
TXN04438,BIZ_006,2025-10-14,payment received,34100,salary,income,0.129,0
TXN07612,BIZ_009,2025-10-14,Contract staff wages,28200,salary,income,0.441,0
TXN09581,BIZ_011,2025-10-14,paid supplier for bulk order,22000,raw_material,expense,0.279,0
TXN06821,BIZ_008,2025-10-14,chai aur nashta,345,food,expense,0.536,0
TXN04439,BIZ_006,2025-10-14,payment aayi client se,67100,salary,income,1.613,0
TXN09580,BIZ_011,2025-10-14,vendor,44600,raw_material,expense,1.32,0
TXN03723,BIZ_005,2025-10-14,physio session after injury,265,healthcare,expense,0.708,0
TXN05546,BIZ_007,2025-10-15,Water bill MCGM,2100,utilities,expense,0.304,0
TXN08855,BIZ_010,2025-10-15,salary diya staff ko,49900,salary,income,0.705,0
TXN00019,BIZ_001,2025-10-16,bhojan ke liye paisa,1310,food,expense,1.537,0
TXN06822,BIZ_008,2025-10-16,snacks liye,460,food,expense,0.289,0
TXN09585,BIZ_011,2025-10-16,marketing,1540,marketing,expense,0.427,0
TXN09584,BIZ_011,2025-10-16,internet,2340,utilities,expense,0.574,0
TXN02895,BIZ_004,2025-10-16,Wholesale goods bought,24600,raw_material,expense,0.095,0
TXN01818,BIZ_003,2025-10-16,books,550,education,expense,0.89,0
TXN10735,BIZ_012,2025-10-16,advance rent to landlord,26200,rent,expense,1.047,0
TXN10736,BIZ_012,2025-10-16,Auto fare to station,190,transport,expense,0.463,0
TXN00871,BIZ_002,2025-10-16,monthly salary credited to account,76800,salary,income,2.125,0
TXN02897,BIZ_004,2025-10-17,Subway lunch,325,food,expense,0.579,0
TXN09586,BIZ_011,2025-10-17,SEO service payment,4650,marketing,expense,0.954,0
TXN08856,BIZ_010,2025-10-17,travel,3790,travel,expense,0.195,0
TXN02896,BIZ_004,2025-10-17,stock,41500,raw_material,expense,1.101,0
TXN02898,BIZ_004,2025-10-17,paani ka bill,220,utilities,expense,1.818,0
TXN03724,BIZ_005,2025-10-17,Design project paid,33400,salary,income,0.166,0
TXN00872,BIZ_002,2025-10-17,booked a cab for late night return,330,transport,expense,0.1,0
TXN03725,BIZ_005,2025-10-18,Raw material purchase,19700,raw_material,expense,0.442,0
TXN05547,BIZ_007,2025-10-18,Supplier payment,13900,raw_material,expense,0.852,0
TXN09588,BIZ_011,2025-10-18,Bulk order material,18100,raw_material,expense,0.555,0
TXN09587,BIZ_011,2025-10-18,supplier ko diya,40800,raw_material,expense,1.051,0
TXN08857,BIZ_010,2025-10-18,kaam ka paisa mila,60200,salary,income,1.249,0
TXN09589,BIZ_011,2025-10-18,Vi mobile bill,2790,utilities,expense,1.082,0
TXN06823,BIZ_008,2025-10-19,Raw material purchase,30800,raw_material,expense,0.344,0
TXN06824,BIZ_008,2025-10-19,paid for digital marketing,3290,marketing,expense,0.35,0
TXN07613,BIZ_009,2025-10-19,Commercial space rent,18600,rent,expense,0.064,0
TXN06825,BIZ_008,2025-10-20,snacks,1720,food,expense,2.417,0
TXN06826,BIZ_008,2025-10-20,Raw material purchase,36400,raw_material,expense,0.74,0
TXN09590,BIZ_011,2025-10-20,charges,985,misc,expense,0.911,0
TXN00873,BIZ_002,2025-10-20,Ola ride to client,78,transport,expense,0.912,0
TXN04440,BIZ_006,2025-10-20,padhai ke liye kharcha,1750,education,expense,0.417,0
TXN01819,BIZ_003,2025-10-20,Freelancer payment,52500,salary,income,0.842,0
TXN04441,BIZ_006,2025-10-20,Educational software,730,education,expense,0.694,0
TXN02899,BIZ_004,2025-10-21,shoping,1700,shopping,expense,0.008,0
TXN04442,BIZ_006,2025-10-21,Vi mobile bill,1070,utilities,expense,0.859,0
TXN04443,BIZ_006,2025-10-21,GST payment,645,misc,expense,0.279,0
TXN00020,BIZ_001,2025-10-21,groceries,835,food,expense,0.516,0
TXN08858,BIZ_010,2025-10-21,Trello Gold,3660,subscriptions,expense,1.723,0
TXN09591,BIZ_011,2025-10-21,stock,28500,raw_material,expense,0.181,0
TXN03726,BIZ_005,2025-10-21,maal kharida,41700,raw_material,expense,1.115,0
TXN03727,BIZ_005,2025-10-22,dawai li,675,healthcare,expense,0.239,0
TXN00874,BIZ_002,2025-10-22,team outing cab booking,530,transport,expense,0.903,0
TXN07614,BIZ_009,2025-10-22,stock,31000,raw_material,expense,0.358,0
TXN10737,BIZ_012,2025-10-22,team outing cab booking,275,transport,expense,0.121,0
TXN01820,BIZ_003,2025-10-22,business trip reimbursement,5970,travel,expense,0.254,0
TXN03728,BIZ_005,2025-10-22,Tata Power monthly bill,1100,utilities,expense,0.825,0
TXN04444,BIZ_006,2025-10-23,saas subscription,1580,subscriptions,expense,0.087,0
TXN05548,BIZ_007,2025-10-23,Project milestone payment,35400,salary,income,0.061,0
TXN05550,BIZ_007,2025-10-23,Wholesale goods bought,15300,raw_material,expense,0.753,0
TXN05551,BIZ_007,2025-10-23,zomatto food,1130,food,expense,1.15,0
TXN06828,BIZ_008,2025-10-23,Office maintenance,360,misc,expense,0.25,0
TXN06827,BIZ_008,2025-10-23,went out with client for dinner,840,food,expense,0.527,0
TXN05549,BIZ_007,2025-10-23,Metro card recharge,200,transport,expense,0.422,0
TXN06829,BIZ_008,2025-10-24,restraunt dinner,250,food,expense,0.74,0
TXN06830,BIZ_008,2025-10-24,Raw material purchase,33900,raw_material,expense,0.563,0
TXN02901,BIZ_004,2025-10-24,Nykaa products,1110,shopping,expense,0.263,0
