transaction_id,business_id,user_id,date,day_of_week,description,amount,type,category,balance_after_transaction
TXN07597,BIZ_009,U033,2025-09-17,Wednesday,BSES electricity bill,1360,expense,utilities,160099
TXN07598,BIZ_009,U031,2025-09-17,Wednesday,Consultant fee paid,37800,income,salary,197899
TXN07599,BIZ_009,U031,2025-09-18,Thursday,supplies,765,expense,shopping,197134
TXN07600,BIZ_009,U034,2025-09-18,Thursday,InDrive cab,110,expense,transport,197024
TXN09565,BIZ_011,U039,2025-09-18,Thursday,vendor,59200,expense,raw_material,-3227
TXN00010,BIZ_001,U001,2025-09-18,Thursday,payroll,28600,income,salary,117578
TXN01807,BIZ_003,U010,2025-09-18,Thursday,office rent,12400,expense,rent,160471
TXN02884,BIZ_004,U014,2025-09-19,Friday,birthday cake from bakery,160,expense,food,144065
TXN08838,BIZ_010,U037,2025-09-19,Friday,annual renewal,1390,expense,subscriptions,145959
TXN06809,BIZ_008,U028,2025-09-19,Friday,McDonalds breakfast,420,expense,food,137403
TXN10727,BIZ_012,U044,2025-09-19,Friday,payroll,38000,income,salary,166223
TXN10728,BIZ_012,U045,2025-09-19,Friday,Content creation fee,3130,expense,marketing,163093
TXN05535,BIZ_007,U024,2025-09-20,Saturday,repiar cost,1350,expense,misc,107091
TXN04424,BIZ_006,U019,2025-09-20,Saturday,Society maintenance,3380,expense,utilities,145592
TXN00857,BIZ_002,U004,2025-09-20,Saturday,Freelancer payment,38500,income,salary,131015
TXN01808,BIZ_003,U009,2025-09-20,Saturday,cheezein kharidi,1260,expense,shopping,159211
TXN08839,BIZ_010,U036,2025-09-20,Saturday,Banner printing,960,expense,marketing,144999
TXN07601,BIZ_009,U033,2025-09-20,Saturday,SEO service payment,4530,expense,marketing,192494
TXN07602,BIZ_009,U034,2025-09-20,Saturday,paani ka bill,1520,expense,utilities,190974
TXN08840,BIZ_010,U037,2025-09-21,Sunday,GST payment,385,expense,misc,144614
TXN05537,BIZ_007,U024,2025-09-21,Sunday,Nykaa products,260,expense,shopping,106531
TXN05536,BIZ_007,U022,2025-09-21,Sunday,Swiggy dinner order,300,expense,food,106791
TXN09566,BIZ_011,U041,2025-09-21,Sunday,bank fees for the month,185,expense,misc,-3461
TXN00858,BIZ_002,U007,2025-09-22,Monday,salary,107200,income,salary,238215
TXN09567,BIZ_011,U041,2025-09-22,Monday,Employee wages,32100,income,salary,10148
TXN02885,BIZ_004,U015,2025-09-23,Tuesday,paid the team for this month,31500,income,salary,175565
TXN07603,BIZ_009,U031,2025-09-23,Tuesday,wages,36900,income,salary,227874
TXN06810,BIZ_008,U030,2025-09-23,Tuesday,restraunt dinner,305,expense,food,137098
TXN06811,BIZ_008,U029,2025-09-23,Tuesday,office ka kiraya,23600,expense,rent,113498
TXN09568,BIZ_011,U039,2025-09-23,Tuesday,metro card bharwaya,185,expense,transport,9963
TXN10730,BIZ_012,U044,2025-09-24,Wednesday,monthly SaaS charges,99,expense,subscriptions,159494
TXN00011,BIZ_001,U003,2025-09-24,Wednesday,payment aayi client se,33500,income,salary,151078
TXN09569,BIZ_011,U039,2025-09-24,Wednesday,metro card bharwaya,120,expense,transport,9843
TXN10729,BIZ_012,U044,2025-09-24,Wednesday,Pamphlet distribution,3500,expense,marketing,159593
TXN03709,BIZ_005,U017,2025-09-24,Wednesday,stock,54300,expense,raw_material,21269
TXN04425,BIZ_006,U021,2025-09-25,Thursday,Skill development course,760,expense,education,144832
TXN09570,BIZ_011,U041,2025-09-25,Thursday,paid supplier for bulk order,40500,expense,raw_material,-3672
TXN09571,BIZ_011,U039,2025-09-25,Thursday,restocked inventory for next month,23500,expense,raw_material,-1254
TXN01809,BIZ_003,U011,2025-09-25,Thursday,internet,1790,expense,utilities,157421
TXN00012,BIZ_001,U001,2025-09-26,Friday,kiraya,13100,expense,rent,137978
TXN06812,BIZ_008,U029,2025-09-26,Friday,Piped gas bill MGNGL,1600,expense,utilities,111898
TXN06813,BIZ_008,U028,2025-09-26,Friday,App project payment,34300,income,salary,146198
TXN07604,BIZ_009,U035,2025-09-26,Friday,shoping,385,expense,shopping,227489
TXN07605,BIZ_009,U034,2025-09-26,Friday,Society maintenance,2670,expense,utilities,224819
TXN10731,BIZ_012,U043,2025-09-26,Friday,flight,2790,expense,travel,156704
TXN02887,BIZ_004,U015,2025-09-26,Friday,monthly salary credited to account,45200,income,salary,231965
TXN02886,BIZ_004,U015,2025-09-26,Friday,Upwork withdrawal,11200,income,salary,186765
TXN05538,BIZ_007,U025,2025-09-27,Saturday,miscelanious,71,expense,misc,106460
TXN08841,BIZ_010,U036,2025-09-27,Saturday,kiraya diya,17900,expense,rent,126714
TXN06814,BIZ_008,U028,2025-09-27,Saturday,lunch bahar kiya,490,expense,food,145708
TXN06815,BIZ_008,U029,2025-09-28,Sunday,internet ka bill,1850,expense,utilities,143858
TXN00013,BIZ_001,U002,2025-09-28,Sunday,kiraya,4000,expense,rent,133978
TXN07606,BIZ_009,U033,2025-09-28,Sunday,Facebook Ads payment,2980,expense,marketing,221839
TXN02888,BIZ_004,U015,2025-09-29,Monday,courier for sending documents,415,expense,misc,231550
TXN08842,BIZ_010,U036,2025-09-29,Monday,booked flights for client meeting,3380,expense,travel,123334
TXN00859,BIZ_002,U005,2025-09-29,Monday,electricity,1800,expense,utilities,236415
TXN00860,BIZ_002,U006,2025-09-29,Monday,miscelanious,355,expense,misc,236060
TXN00861,BIZ_002,U006,2025-09-29,Monday,payroll,39600,income,salary,275660
TXN00862,BIZ_002,U007,2025-09-29,Monday,Toll plaza charge,510,expense,transport,275150
TXN00863,BIZ_002,U006,2025-09-29,Monday,Part time worker salary,68300,income,salary,343450
TXN03710,BIZ_005,U017,2025-09-29,Monday,Physiotherapy,370,expense,healthcare,20899
TXN03711,BIZ_005,U016,2025-09-29,Monday,Freelancer payment,27300,income,salary,48199
TXN03712,BIZ_005,U016,2025-09-29,Monday,Jio prepaid 299,1210,expense,utilities,46989
TXN09572,BIZ_011,U039,2025-09-29,Monday,Bulk order material,27900,expense,raw_material,-3425
TXN05539,BIZ_007,U023,2025-09-29,Monday,bijli ka bill,695,expense,utilities,105765
TXN09573,BIZ_011,U039,2025-09-29,Monday,Gym membership,420,expense,healthcare,-422
TXN09574,BIZ_011,U041,2025-09-29,Monday,restocked inventory for next month,50900,expense,raw_material,-4759
TXN03715,BIZ_005,U016,2025-09-30,Tuesday,Supplier payment,6430,expense,raw_material,39869
TXN03713,BIZ_005,U016,2025-09-30,Tuesday,utilties payment,200,expense,utilities,46789
TXN04426,BIZ_006,U018,2025-09-30,Tuesday,khana order kiya,615,expense,food,144217
TXN04427,BIZ_006,U018,2025-09-30,Tuesday,Books from Amazon,1960,expense,education,142257
TXN06816,BIZ_008,U029,2025-09-30,Tuesday,broadband,1480,expense,utilities,142378
TXN00014,BIZ_001,U003,2025-09-30,Tuesday,Google Workspace,2590,expense,subscriptions,131388
TXN03714,BIZ_005,U016,2025-09-30,Tuesday,hospital,490,expense,healthcare,46299
TXN07607,BIZ_009,U035,2025-09-30,Tuesday,Content creation fee,805,expense,marketing,221034
TXN01810,BIZ_003,U008,2025-09-30,Tuesday,team collaboration tool subscription,3050,expense,subscriptions,154371
TXN08845,BIZ_010,U037,2025-10-01,Wednesday,amazone order,870,expense,shopping,119114
TXN08843,BIZ_010,U038,2025-10-01,Wednesday,Client visit Hyderabad,1380,expense,travel,121954
TXN10732,BIZ_012,U045,2025-10-01,Wednesday,team outing cab booking,580,expense,transport,156124
TXN08848,BIZ_010,U037,2025-10-01,Wednesday,AWS monthly bill,1520,expense,subscriptions,122944
TXN08847,BIZ_010,U038,2025-10-01,Wednesday,SEO service payment,2650,expense,marketing,124464
TXN08846,BIZ_010,U036,2025-10-01,Wednesday,App project payment,8000,income,salary,127114
TXN01811,BIZ_003,U011,2025-10-01,Wednesday,Airbnb stay Pune,1130,expense,travel,153241
TXN09575,BIZ_011,U041,2025-10-01,Wednesday,ran ads campaign this month,1670,expense,marketing,-1604
TXN08844,BIZ_010,U037,2025-10-01,Wednesday,monthly SaaS charges,1970,expense,subscriptions,119984
TXN03716,BIZ_005,U017,2025-10-02,Thursday,Client project payment received,58800,income,salary,98669
TXN05540,BIZ_007,U022,2025-10-02,Thursday,cleared rent dues,16400,expense,rent,89365
TXN04428,BIZ_006,U020,2025-10-02,Thursday,Training workshop fee,1630,expense,education,140627
TXN09576,BIZ_011,U042,2025-10-02,Thursday,transpotation cost,915,expense,transport,-4634
TXN04429,BIZ_006,U020,2025-10-02,Thursday,marketing,680,expense,marketing,139947
TXN00015,BIZ_001,U002,2025-10-02,Thursday,rentt payment,22700,expense,rent,108688
TXN02889,BIZ_004,U015,2025-10-02,Thursday,Restaurant dinner,1140,expense,food,230410
TXN09578,BIZ_011,U042,2025-10-03,Friday,internet ka bill,2170,expense,utilities,-3473
TXN03718,BIZ_005,U017,2025-10-03,Friday,Practo consultation,700,expense,healthcare,97254
TXN03719,BIZ_005,U016,2025-10-03,Friday,Jio prepaid 299,275,expense,utilities,96979
TXN04430,BIZ_006,U019,2025-10-03,Friday,Udemy course purchase,1330,expense,education,138617
TXN02890,BIZ_004,U014,2025-10-03,Friday,Commercial space rent,10300,expense,rent,220110
TXN08849,BIZ_010,U038,2025-10-03,Friday,marketing,1590,expense,marketing,121354
TXN01812,BIZ_003,U009,2025-10-03,Friday,Google Workspace,99,expense,subscriptions,153142
TXN01813,BIZ_003,U009,2025-10-03,Friday,payroll,25800,income,salary,178942
TXN08850,BIZ_010,U038,2025-10-03,Friday,wages,47000,income,salary,168354
TXN03717,BIZ_005,U016,2025-10-03,Friday,Professional tax,715,expense,misc,97954
TXN09577,BIZ_011,U039,2025-10-03,Friday,office ka khana,410,expense,food,-2855
TXN07608,BIZ_009,U031,2025-10-03,Friday,Metro card recharge,410,expense,transport,220624
TXN08851,BIZ_010,U036,2025-10-04,Saturday,Travel insurance,3960,expense,travel,164394
TXN04434,BIZ_006,U018,2025-10-04,Saturday,course,740,expense,education,118622
TXN00864,BIZ_002,U006,2025-10-04,Saturday,InDrive cab,235,expense,transport,343215
TXN04433,BIZ_006,U020,2025-10-04,Saturday,Shop rental payment,18000,expense,rent,119362
TXN04431,BIZ_006,U021,2025-10-04,Saturday,dinner,225,expense,food,138392
TXN04432,BIZ_006,U018,2025-10-04,Saturday,padhai ke liye kharcha,1030,expense,education,137362
TXN00865,BIZ_002,U005,2025-10-05,Sunday,GST payment,870,expense,misc,342345
TXN00866,BIZ_002,U007,2025-10-05,Sunday,SEO work for website,1570,expense,marketing,340775
TXN03720,BIZ_005,U016,2025-10-05,Sunday,Doctor visit fee,570,expense,healthcare,96409
TXN02891,BIZ_004,U014,2025-10-05,Sunday,IKEA office furniture,2400,expense,shopping,217710
TXN05541,BIZ_007,U023,2025-10-05,Sunday,Inventory restock,34800,expense,raw_material,54565
TXN06817,BIZ_008,U030,2025-10-05,Sunday,stock bharwaya,10700,expense,raw_material,131678
TXN04435,BIZ_006,U021,2025-10-05,Sunday,Payment from ABC Corp,18800,income,salary,137422
TXN00867,BIZ_002,U006,2025-10-06,Monday,auto,145,expense,transport,340630
TXN00016,BIZ_001,U002,2025-10-06,Monday,Cafe Coffee Day,460,expense,food,108228
TXN03721,BIZ_005,U016,2025-10-07,Tuesday,Flight ticket Delhi,585,expense,transport,95824
TXN06818,BIZ_008,U029,2025-10-07,Tuesday,swiggy ordr,175,expense,food,131503
TXN00869,BIZ_002,U004,2025-10-07,Tuesday,wifi router plan renewed,1840,expense,utilities,338270
TXN00868,BIZ_002,U007,2025-10-07,Tuesday,petrol,520,expense,transport,340110
TXN10733,BIZ_012,U044,2025-10-08,Wednesday,bought milk and bread from nearby store,920,expense,food,155204
TXN05542,BIZ_007,U024,2025-10-08,Wednesday,repiar cost,210,expense,misc,54355
TXN01814,BIZ_003,U012,2025-10-08,Wednesday,paid the team for this month,24000,income,salary,202942
TXN04436,BIZ_006,U018,2025-10-09,Thursday,Canva Pro,3770,expense,subscriptions,133652
TXN07609,BIZ_009,U032,2025-10-09,Thursday,Instagram promotion,1120,expense,marketing,219504
TXN01815,BIZ_003,U009,2025-10-09,Thursday,petty cash for small purchases,355,expense,misc,202587
TXN07610,BIZ_009,U032,2025-10-10,Friday,co-working subscription,21600,expense,rent,197904
TXN09579,BIZ_011,U042,2025-10-10,Friday,gas connection recharge,2470,expense,utilities,-2803
TXN00017,BIZ_001,U002,2025-10-10,Friday,material,35000,expense,raw_material,73228
TXN08852,BIZ_010,U037,2025-10-10,Friday,flight,2470,expense,travel,161924
TXN01816,BIZ_003,U008,2025-10-11,Saturday,bought books for office library,1040,expense,education,201547
TXN05543,BIZ_007,U025,2025-10-11,Saturday,anay kharcha,85,expense,misc,54270
TXN08853,BIZ_010,U036,2025-10-11,Saturday,amazon,2200,expense,shopping,159724
TXN03722,BIZ_005,U017,2025-10-12,Sunday,Hospital bill,315,expense,healthcare,95509
TXN00870,BIZ_002,U005,2025-10-12,Sunday,GST payment,465,expense,misc,337805
TXN06819,BIZ_008,U029,2025-10-12,Sunday,cheezein kharidi,3920,expense,shopping,127583
TXN02893,BIZ_004,U015,2025-10-12,Sunday,restocked inventory for next month,15800,expense,raw_material,227210
TXN04437,BIZ_006,U021,2025-10-12,Sunday,electricty bill,1620,expense,utilities,132032
TXN10734,BIZ_012,U044,2025-10-12,Sunday,business trip reimbursement,2730,expense,travel,152474
TXN02892,BIZ_004,U013,2025-10-12,Sunday,monthly salary credited to account,25300,income,salary,243010
TXN02894,BIZ_004,U014,2025-10-13,Monday,rentt payment,26400,expense,rent,200810
TXN05545,BIZ_007,U022,2025-10-13,Monday,printing karwaya,83,expense,misc,32587
TXN01817,BIZ_003,U012,2025-10-13,Monday,zomatto food,315,expense,food,201232
TXN05544,BIZ_007,U025,2025-10-13,Monday,advance rent to landlord,21600,expense,rent,32670
TXN00018,BIZ_001,U003,2025-10-13,Monday,kiraya,8030,expense,rent,65198
TXN07611,BIZ_009,U031,2025-10-13,Monday,cleared utility dues,2280,expense,utilities,195624
TXN06820,BIZ_008,U028,2025-10-13,Monday,Jio prepaid 299,1250,expense,utilities,126333
TXN08854,BIZ_010,U038,2025-10-13,Monday,Trello Gold,1530,expense,subscriptions,158194
TXN09582,BIZ_011,U040,2025-10-14,Tuesday,Professional tax,330,expense,misc,-3487
TXN09583,BIZ_011,U042,2025-10-14,Tuesday,bijli wale ko diya,2180,expense,utilities,-1389
TXN04438,BIZ_006,U019,2025-10-14,Tuesday,payment received,34100,income,salary,166132
TXN07612,BIZ_009,U032,2025-10-14,Tuesday,Contract staff wages,28200,income,salary,223824
TXN09581,BIZ_011,U039,2025-10-14,Tuesday,paid supplier for bulk order,22000,expense,raw_material,-911
TXN06821,BIZ_008,U029,2025-10-14,Tuesday,chai aur nashta,345,expense,food,125988
TXN04439,BIZ_006,U020,2025-10-14,Tuesday,payment aayi client se,67100,income,salary,233232
TXN09580,BIZ_011,U039,2025-10-14,Tuesday,vendor,44600,expense,raw_material,-1818
TXN03723,BIZ_005,U017,2025-10-14,Tuesday,physio session after injury,265,expense,healthcare,95244
TXN05546,BIZ_007,U026,2025-10-15,Wednesday,Water bill MCGM,2100,expense,utilities,30487
TXN08855,BIZ_010,U038,2025-10-15,Wednesday,salary diya staff ko,49900,income,salary,208094
TXN00019,BIZ_001,U002,2025-10-16,Thursday,bhojan ke liye paisa,1310,expense,food,63888
TXN06822,BIZ_008,U028,2025-10-16,Thursday,snacks liye,460,expense,food,125528
TXN09585,BIZ_011,U039,2025-10-16,Thursday,marketing,1540,expense,marketing,-1614
TXN09584,BIZ_011,U042,2025-10-16,Thursday,internet,2340,expense,utilities,-4589
TXN02895,BIZ_004,U015,2025-10-16,Thursday,Wholesale goods bought,24600,expense,raw_material,176210
TXN01818,BIZ_003,U010,2025-10-16,Thursday,books,550,expense,education,200682
TXN10735,BIZ_012,U043,2025-10-16,Thursday,advance rent to landlord,26200,expense,rent,126274
TXN10736,BIZ_012,U043,2025-10-16,Thursday,Auto fare to station,190,expense,transport,126084
TXN00871,BIZ_002,U004,2025-10-16,Thursday,monthly salary credited to account,76800,income,salary,414605
TXN02897,BIZ_004,U014,2025-10-17,Friday,Subway lunch,325,expense,food,134385
TXN09586,BIZ_011,U042,2025-10-17,Friday,SEO service payment,4650,expense,marketing,-2547
TXN08856,BIZ_010,U037,2025-10-17,Friday,travel,3790,expense,travel,204304
TXN02896,BIZ_004,U013,2025-10-17,Friday,stock,41500,expense,raw_material,134710
TXN02898,BIZ_004,U013,2025-10-17,Friday,paani ka bill,220,expense,utilities,134165
TXN03724,BIZ_005,U017,2025-10-17,Friday,Design project paid,33400,income,salary,128644
TXN00872,BIZ_002,U006,2025-10-17,Friday,booked a cab for late night return,330,expense,transport,414275
TXN03725,BIZ_005,U017,2025-10-18,Saturday,Raw material purchase,19700,expense,raw_material,108944
TXN05547,BIZ_007,U027,2025-10-18,Saturday,Supplier payment,13900,expense,raw_material,16587
TXN09588,BIZ_011,U040,2025-10-18,Saturday,Bulk order material,18100,expense,raw_material,-3680
TXN09587,BIZ_011,U040,2025-10-18,Saturday,supplier ko diya,40800,expense,raw_material,-3798
TXN08857,BIZ_010,U038,2025-10-18,Saturday,kaam ka paisa mila,60200,income,salary,264504
